"","LOCATIONS","STATE","WATERTYPE","TEMPERATURE(c)","pH","CONDUCTIVITY(µmhos/cm)","B.O.D(mg/l)","NITRATE","FECALCOLIFORM(MPN/100ml)","TOTALCOLIFORM(MPN/100ml)","YEAR","nTemp","npH","nCon","nBod","nNit","nColi","WTemp","Wph","WBod","WCon","WNit","WColi","WQI","predictWQI"
"11","MALPRABHA AT BADAMI BRIDGE, KARNATAKA","KARNATAKA","RIVERWATER",28.1,7.9,716,2,3.28,569,1203,2013,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,72.0697051818427
"12","BHAVANI AT BHAVANI SAGAR","TAMILNADU","RIVERWATER",27,7.9,210,1,0.16,193,640,2010,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76,73.4579869080713
"13","YAMUNA AT U/S OF LAKHWAR DAM, U.P","UTTARAKHAND","RIVERWATER",19.6,8.2,218,1.9,0,18134.3000000001,50000,2013,80,100,60,100,100,0,13.6,17,13,5.16,22,0,70.76,65.3620167169749
"14","NIRA RIVER AT SHINDEWADI, SHIRVAL, KHANDALA, SATARA","MAHARASHTRA","RIVERWATER",23.5,8.4,323,6.4,1.98,137,1192,2013,60,100,0,60,100,40,10.2,17,7.8,0,22,8.8,65.8,74.0671865494905
"15","YAMUNA AT VISHRAMGHAT, MATHURA","UTTARPRADESH","RIVERWATER",25,7.5,273,9.2,0,18134.3000000001,50000,2014,60,100,40,60,100,0,10.2,17,7.8,3.44,22,0,60.44,61.154477534246
"16","AMRAVATI AT VILLAGE DADHAL , TA ANKLESHWAR, BHARUC","GUJARAT","RIVERWATER",26,7.3,399,0.9,0.2,33,110,2016,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72,75.2309510317348
"17","GIRI AT D/S YASHWANT NAGAR","HIMACHALPRADESH","RIVERWATER",21.5,8.1,174,0.8,0.49,31,63,2011,60,100,60,100,100,60,10.2,17,13,5.16,22,13.2,80.56,77.376046019828
"18","BHADAR D/S JETPUR VILL. AFTER CONF. OF W.WATER FROM JETPUR CITY,GUJARAT","GUJARAT","RIVERWATER",29,8,1265,2.13,0.1,503,1693,2008,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,71.2897519406432
"19","GANGA AT MALSALAMI, PATNA, BIHAR","BIHAR","RIVERWATER",16,3.2,268,2,0,800,2200,2015,80,40,40,100,100,40,13.6,6.8,13,3.44,22,8.8,67.64,88.0059230985611
"20","BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA","MAHARASHTRA","RIVERWATER",28,8,111,3.6,0.31,45,143,2009,40,100,80,80,100,60,6.8,17,10.4,6.88,22,13.2,76.28,72.2460826389477
"21","SINA RIVER NEAR LABOTI TOLL NAKA, LABOTI, MOHAL, SOLAPUR","MAHARASHTRA","RIVERWATER",34.3,8.7,912,4.9,2,236,1483,2013,40,80,0,80,100,40,6.8,13.6,10.4,0,22,8.8,61.6,65.8046446118447
"22","TAMBIRAPARANI AT SRIVAIKUNTAM, D/S OF SK ANAICUT, TIRUNELVELI, TAMILNADU","TAMILNADU","RIVERWATER",28.7,6.8,451,9.4,0.55,22,58,2013,40,100,0,60,100,60,6.8,17,7.8,0,22,13.2,66.8,72.4935605794742
"23","SATLUJ AT D/S RAMPUR, H.P.","HIMACHALPRADESH","RIVERWATER",12,8,216,0.3,1,21,101,2007,100,100,60,100,100,60,17,17,13,5.16,22,13.2,87.36,84.5612147190789
"24","R PULLUR AT PULLUR BR.","KERALA","RIVERWATER",28,6.3,49,1,0.22,87,323,2012,40,80,100,100,100,60,6.8,13.6,13,8.6,22,13.2,77.2,75.202574294872
"25","VASAI","MAHARASHTRA","GROUNDWATER",26,7.5,1108,6,0.9,188,1250,2007,40,100,0,80,100,40,6.8,17,10.4,0,22,8.8,65,73.6437028168199
"26","BEAS AT D/S PANDOH DAM","HIMACHALPRADESH","RIVERWATER",10,6.5,95,0.1,0,17,140,2016,100,100,80,100,100,60,17,17,13,6.88,22,13.2,89.08,88.3791654331917
"27","ARPA RIVER D/S OF BILASPUR","CHHATTISGARH","RIVERWATER",28,6.9,7,7,2,8,8,2007,40,100,100,60,100,80,6.8,17,7.8,8.6,22,17.6,79.8,73.2213832275917
"28","PATALGANGA AT SAVROLI BDG, KHALAPUR. RAIGAD","MAHARASHTRA","RIVERWATER",26.8,7.3,130,3.4,0.57,133,318,2010,40,100,80,80,100,60,6.8,17,10.4,6.88,22,13.2,76.28,74.1450915225359
"29","GANGA AT MALSALAMI, PATNA","BIHAR","RIVERWATER",24.5,8,377,2.4,0,1846,50000,2014,60,100,0,100,100,0,10.2,17,13,0,22,0,62.2,61.9529095961371
"30","GABHENI VILL, SURAT (INDUSTRIAL)","GUJARAT","GROUNDWATER",29,8,2033,1.64,0.09,400,900,2012,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,71.528080435593
"31","ANCHARAKANDY AT MERUVAMBA","KERALA","RIVERWATER",26,7,67,1,0.34,170,538,2012,40,100,100,100,100,40,6.8,17,13,8.6,22,8.8,76.2,75.5637331454815
"32","UMSHYRPI  AT LAW COLLEGE, DHANKETI, EAST KHASI HILLS","MEGHALAYA","RIVERWATER",18,7,286,45.6,10.61,18134.3000000001,50000,2012,80,100,40,60,100,0,13.6,17,7.8,3.44,22,0,63.84,59.9690726561381
"33","MUSI D/S AT HYDERABAD, A.P.","ANDHRAPRADESH","RIVERWATER",30,8.1,1540,62.5,13.19,1600,1600,2013,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4,58.9701197760532
"34","NABADIP ON GANGA,GHOSHPARA NEAR
MONIPURGHAT","WEST BENGAL","RIVERWATER",18.5,7.3,172,1,0.2,18134.3000000001,50000,2016,80,100,60,100,100,0,13.6,17,13,5.16,22,0,70.76,67.6630011945163
"35","AT BADDI,  H.P","HIMACHALPRADESH","GROUNDWATER",25,7.9,401,0.1,0.8,20,225,2006,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4,75.13798080478
"36","NEDUMANGAD,THIRUVANANTHAPURAM","KERALA","GROUNDWATER",32,6.5,140,1,0,22,70,2016,40,100,80,100,100,60,6.8,17,13,6.88,22,13.2,78.88,72.0326734454425
"37","HAND PUMP OF VIDHANI VILLAGE GONER ROAD JAIPUR, RAJASTHAN","RAJASTHAN","GROUNDWATER",27,7.63,2850,0.3,0.26,5,14,2006,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4,73.9486555057552
"38","AT BOAT BDG. DHARMKOTNAKODAR ROAD, JALANDHAR","PUNJAB","RIVERWATER",19.7,7.4,452,10.3,2.73,2233,50000,2008,80,100,0,60,100,0,13.6,17,7.8,0,22,0,60.4,64.8112175424451
"39","CHURNI AT GADE BORDER (BANGLADESH - INDIA BORDER), WEST BENGAL","WEST BENGAL","RIVERWATER",28.6,8,533,1.4,0.23,18134.3000000001,50000,2009,40,100,0,100,100,0,6.8,17,13,0,22,0,58.8,59.0796451201555
"40","SANGERA GONDIA","MAHARASHTRA","GROUNDWATER",30.5,7.55,283,6.7,1.73,9.5,19.5,2009,40,100,40,60,100,80,6.8,17,7.8,3.44,22,17.6,74.64,70.4569530454401
"41","PARVATI BEFORE CONF. TO RIVER BEAS, H.P.","HIMACHALPRADESH","RIVERWATER",9.2,7.9,65,0.3,1,61,244,2013,100,100,100,100,100,60,17,17,13,8.6,22,13.2,90.8,86.7465016971924
"42","PANCHNAI RIVER AT NH-52 CROSSING, ORANG","ASSAM","RIVERWATER",23,7.5,114,1.7,0.14,100,710,2009,60,100,80,100,100,40,10.2,17,13,6.88,22,8.8,77.88,76.8699950020957
"43","KRISHNA - ANKALI BRIDGE ALONG CHIKKODI KAGWAD ROAD","KARNATAKA","RIVERWATER",26,7.75,968,1.3,7.66,1.32,171,2006,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72,73.9072146011941
"44","VEL RIVER AT SHIKRAPUR, SHIRUR, PUNE","MAHARASHTRA","RIVERWATER",25.8,8.1,317,5.8,0.22,102,925,2010,40,100,0,80,100,40,6.8,17,10.4,0,22,8.8,65,73.1200084243663
"45","MAHANADI AT NARSINGHPUR","ORISSA","RIVERWATER",25.9,8,202,1.3,0.66,763,1508,2011,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76,73.8042225060793
"46","PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD.","MAHARASHTRA","RIVERWATER",27.2,7.3,384,5.4,0.6,37,78,2014,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4,73.5444114529469
"47","CAUVERY AT NAPOKULU BDG (D/S)","KARNATAKA","RIVERWATER",24.2,7.5,53,1,0.8,1496,1496,2010,60,100,100,100,100,40,10.2,17,13,8.6,22,8.8,79.6,75.8598496839069
"48","SINA NEAR LABOTI TOLL NAKA, LABOTI, MOHAL, SOLAPUR","MAHARASHTRA","RIVERWATER",22,7.6,335,3.2,0.2,11,35,2016,60,100,0,80,100,80,10.2,17,10.4,0,22,17.6,77.2,77.3526717247124
"49","SATLUJ AT D/S SLAPPER, H.P.","HIMACHALPRADESH","RIVERWATER",15.3,7.9,234,0.5,0.13,260,1200,2009,80,100,40,100,100,40,13.6,17,13,3.44,22,8.8,77.84,82.0165165192161
"50","PAYYANNUR, KANNUR DISTT. ","KERALA","GROUNDWATER",27,6.8,218,0.4,5.85,2,26,2011,40,100,60,100,100,80,6.8,17,13,5.16,22,17.6,81.56,74.9665881690793
"51","R MANJESWAR AT BAJRAKKARA BR.","KERALA","RIVERWATER",25,6.3,177,1.2,0.2,1583,2807,2009,60,80,60,100,100,40,10.2,13.6,13,5.16,22,8.8,72.76,76.717758989167
"52","Bore well Near Railway crossing at Dongri Buzurg. Village- Dongri-Buzurg, Taluka- Tumsar,District- Bandara.","MAHARASHTRA","GROUNDWATER",22,7.8,892,6.8,2,170,280,2013,60,100,0,60,100,60,10.2,17,7.8,0,22,13.2,70.2,76.1953477915284
"53","R NEYYAR AT AMARAVILA","KERALA","RIVERWATER",28,7.3,70,1.4,0.39,838,1875,2012,40,100,100,100,100,40,6.8,17,13,8.6,22,8.8,76.2,73.2180939786888
"54","RIVER BANDI AT HEMAWAS DAM, PALI, RAJASTHAN","RAJASTHAN","RIVERWATER",25.3,8.1,625,1.1,0,4,6,2013,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4,74.5413811716609
"55","CENTRAL HOWRAH-RESIDENTAIL AREA","WEST BENGAL","GROUNDWATER",25.5,7.8,2315,0.63,0.1,2,15,2011,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4,74.7919194238934
"56","NARMADA AT CHANDOD","GUJARAT","RIVERWATER",26.4,7.9,274,2.3,0.18,5,16,2011,40,100,40,100,100,80,6.8,17,13,3.44,22,17.6,79.84,73.8311248742396
"57","VENNA RIVER AT VARYE, SATARA.","MAHARASHTRA","RIVERWATER",21,7.8,318,7.1,0.22,173,900,2012,60,100,0,60,100,40,10.2,17,7.8,0,22,8.8,65.8,76.8838110283901
"58","CHALAKUDY AT PULICKALKA-DAVU","KERALA","RIVERWATER",29,6.3,148,1.2,0.93,190,935,2008,40,80,80,100,100,40,6.8,13.6,13,6.88,22,8.8,71.08,74.2134547281258
"59","GODAVARI AT RAHER","MAHARASHTRA","RIVERWATER",29.1,8.3,476,3.6,1.37,4,183,2010,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4,70.8760887902125
"60","KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE )","MAHARASHTRA","RIVERWATER",29,7,478,16.3,0.35,500,1008,2008,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4,70.5344281741753
"61","RIVER MUSI AT NAGOLE, RANGAREDDY, A.P","ANDHRAPRADESH","RIVERWATER",24,6.1,440,6,1,70,250,2015,60,80,0,80,100,60,10.2,13.6,10.4,0,22,13.2,69.4,77.5124904076811
"62","WARDHA AT CONFLUENCE POINT OF PENGANGA & WARDHA AT JUAD.","MAHARASHTRA","RIVERWATER",20,7.9,893,6.6,2.43,51,117,2011,80,100,0,60,100,60,13.6,17,7.8,0,22,13.2,73.6,77.5664246562886
"63","KUREEPUZHA (KOLLAM)","KERALA","GROUNDWATER",24,6.4,205,1.2,2.5,160,460,2014,60,80,60,100,100,60,10.2,13.6,13,5.16,22,13.2,77.16,77.7571013248469
"64","GHAGGAR AT D/S SARDULGARH","PUNJAB","RIVERWATER",22,7.4,990,27.8,6.78,18134.3000000001,50000,2012,60,100,0,60,100,0,10.2,17,7.8,0,22,0,57,59.7443586969986
"65","KRISHNA AT GADWAL BRIDGE","ANDHRAPRADESH","RIVERWATER",24,7.5,306,2,0.1,8,68,2016,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4,76.238463729693
"66","TUNGABHADRA AT D/S OF HPF","KARNATAKA","RIVERWATER",27,7.3,530,3,0.03,130,3000,2010,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,73.372571261009
"67","KRISHNA RIVER AT KSHETRA MAHULI.","MAHARASHTRA","RIVERWATER",20.7,8,457,5.3,0.61,205,1394,2011,60,100,0,80,100,40,10.2,17,10.4,0,22,8.8,68.4,76.9524334590822
"68","HAND PUMP AT SANSARPUR TERRACE IA","HIMACHALPRADESH","GROUNDWATER",21,7.315,340,0.9,2.2,6,16,2010,60,100,0,100,100,80,10.2,17,13,0,22,17.6,79.8,78.7798258023172
"69","KHAPERKHEDA, NAGPUR","MAHARASHTRA","GROUNDWATER",21,7.5,211,7,1.9,14,26,2009,60,100,60,60,100,80,10.2,17,7.8,5.16,22,17.6,79.76,77.4684894570185
"70","KANHAN D/S OF NAGPUR","MAHARASHTRA","RIVERWATER",21.7,7.8,688,7.2,1.27,51,178,2011,60,100,0,60,100,60,10.2,17,7.8,0,22,13.2,70.2,76.4395377264018
"71","SH. POL SINGH PUROHIT,
VILLAGE PUNAYATA, PALI","RAJASTHAN","GROUNDWATER",23,7.7,3400,2.5,2.4,3,3,2016,60,100,0,100,100,100,10.2,17,13,0,22,22,84.2,76.219586726064
"72","MAHANADI AT TIKARPADA, ORISSA","ORISSA","RIVERWATER",30.5,7.55,184,1,0.28,1425,2300,2009,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76,70.9607376481116
"73","BRAHMANI AT DHARMASHALA, ORISSA","ORISSA","RIVERWATER",26,7.8,179,1.3,0.38,1333,3500,2007,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76,73.5280185033889
"74","KOLAR BEFORE CONFLUENCE TO KANHAN AT KAMPTEE","MAHARASHTRA","RIVERWATER",20.7,8.2,660,10.37,1.2,66,127,2009,60,100,0,60,100,60,10.2,17,7.8,0,22,13.2,70.2,76.0465378349581
"75","KUMARADHARA - U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH RIVER NETHRAVATHI","KARNATAKA","RIVERWATER",29.1,7.2,102,1,0,137,1223,2014,40,100,80,100,100,40,6.8,17,13,6.88,22,8.8,74.48,72.8231250281509
"76","GANGA AT KHURJI, PATNA U/S, BIHAR","BIHAR","RIVERWATER",16,7.9,242,2,0,700,2200,2015,80,100,40,100,100,40,13.6,17,13,3.44,22,8.8,77.84,80.98572228411
"77","TANGRA, CALCUTTA ,WEST BENGAL","WEST BENGAL","GROUNDWATER",34,7.81,2160,0.6,0.14,2,479.4,2006,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72,68.4078612791829
"78","SARYU AT AYODHYA AT MAIN BATHING GHAT, U.P.","UTTARPRADESH","RIVERWATER",24.9,7.6,292,3,0.63,18134.3000000001,50000,2008,60,100,40,100,100,0,10.2,17,13,3.44,22,0,65.64,62.1132646748237
"79","RIVER HUNDRI, JOHARPUR(V), NEAR TEMPLE, KURNOOL","ANDHRAPRADESH","RIVERWATER",25,7.8,839,3.08,2.5,136,1266,2008,60,100,0,80,100,40,10.2,17,10.4,0,22,8.8,68.4,74.3437006240921
"80","RIVER SIRSA , U/S SITOMAJRI NALLAHGARH, H.P","HIMACHALPRADESH","RIVERWATER",23,7.7,399,1,0.8,27,113,2007,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4,76.7826874167483
"81","TUNGABHADRA AT U/S OF HPF, KARNATAKA","KARNATAKA","RIVERWATER",26.2,7.9,290,2.9,0.1,55,133,2014,40,100,40,100,100,60,6.8,17,13,3.44,22,13.2,75.44,73.8476643033762
"82","BRAHMANI AT KAMALANGA, ORISSA","ORISSA","RIVERWATER",30,7.9,176,2,0.26,1914,50000,2007,40,100,60,100,100,0,6.8,17,13,5.16,22,0,63.96,58.1171469424507
"83","SIMSANG RIVER WILLIAMNAGAR","MEGHALAYA","RIVERWATER",25.2,7.1,136,1.9,0.52,303,409,2011,40,100,80,100,100,60,6.8,17,13,6.88,22,13.2,78.88,75.8629713005885
"84","DENWA NEAR SARNI, ROAD BRIDGE","MADHYAPRADESH","RIVERWATER",35.1,8,517,3.2,0.61,18,453,2010,0,100,0,80,100,60,0,17,10.4,0,22,13.2,62.6,66.9540991352741
"85","WAH BLEI AT RIANGDO, WEST KHASI HILLS","MEGHALAYA","RIVERWATER",20,7.1,46,1.6,3.93,8,22,2012,80,100,100,100,100,80,13.6,17,13,8.6,22,17.6,91.8,79.613873480928
"86","BEHALA CALCUTTA, WEST BENGAL","WEST BENGAL","GROUNDWATER",28,8,874,0.6,0.2,4,7,2015,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4,72.7567091342047
"87","MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN, ","GUJARAT","RIVERWATER",28.3,7.7,885,6.3,0.51,18134.3000000001,50000,2010,40,100,0,60,100,0,6.8,17,7.8,0,22,0,53.6,58.8498631110163
"88","DOMJUR HOWRAH, WEST BENGAL","WEST BENGAL","GROUNDWATER",25,8,750,0.5,0.1,240,500,2015,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4,74.8705528581792
"89","GODHARA","GUJARAT","GROUNDWATER",29.5,8,546,3.4,0.24,7,17,2012,40,100,0,80,100,80,6.8,17,10.4,0,22,17.6,73.8,71.1824155017171
"90","GANGA AT PATNA D/S (GANGA BRIDGE),BIHAR","BIHAR","RIVERWATER",24.9,8,402,2.7,0,18134.3000000001,50000,2014,60,100,0,100,100,0,10.2,17,13,0,22,0,62.2,61.6041920397253
"91","GODAVARI AT KAMALPUR D/S AT M/S. AP RAYONS LTD. DISCHARGE POINT, WARANGAL","ANDHRAPRADESH","RIVERWATER",27.6,8,342,1.5,0.3,161,1188,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,72.6162848914243
"92","R THALLASSERY AT PATHIPPALAM","KERALA","RIVERWATER",27,6.1,45,0.7,0.2,150,1050,2008,40,80,100,100,100,40,6.8,13.6,13,8.6,22,8.8,72.8,76.1011635582757
"93","TUNGHABHADRA AT ULLANUR, KARNATAKA","KARNATAKA","RIVERWATER",28.8,8,470,2.6,0.44,18134.3000000001,50000,2011,40,100,0,100,100,0,6.8,17,13,0,22,0,58.8,58.7130779004508
"94","GANDAK AT REWAGHAT, MUJAFFARPUR","UTTARPRADESH","RIVERWATER",26,7.9,306,2,0.96,700,1400,2009,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,73.7577056013788
"95","GANGA AT KAHALGAON","BIHAR","RIVERWATER",23.8,8.21,367,2.2,0.17,0.76,50000,2006,60,100,0,100,100,0,10.2,17,13,0,22,0,62.2,62.1783865773095
"96","CAUVERY AT MOHANUR NEAR PATTAIPALAYAM, TAMILNADU","TAMILNADU","RIVERWATER",29,7.97,849,2.5,0.14,495,1075,2006,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,71.4597075720008
"97","BRAHAMPUTRA AT NIMATIGHAT, ASSAM","ASSAM","RIVERWATER",23,7.3,161,1.52,0.1,272,754,2008,60,100,60,100,100,40,10.2,17,13,5.16,22,8.8,76.16,77.1880168439637
"98","LARGI AT D/S, H.P.","HIMACHALPRADESH","RIVERWATER",9.6,7.9,73,0.1,1,48,156,2013,100,100,100,100,100,60,17,17,13,8.6,22,13.2,90.8,86.5092243741367
"99","FULBARI BARRAGE","WEST BENGAL","GROUNDWATER",21,6.3,116,0.6,0.2,50,130,2016,60,80,80,100,100,60,10.2,13.6,13,6.88,22,13.2,78.88,80.4755119213968
"100","R NEYYAR AT ARUVIPURAM","KERALA","RIVERWATER",26.2,7.2,42,0.5,0.18,151,774,2013,40,100,100,100,100,40,6.8,17,13,8.6,22,8.8,76.2,75.1558531422895
"101","DAMODAR AT NARAINPUR AFTER CONFL. OF NUNIA NALLAH, WB","WEST BENGAL","RIVERWATER",29.9,7.8,359,3.1,0.72,18134.3000000001,50000,2009,40,100,0,80,100,0,6.8,17,10.4,0,22,0,56.2,58.1029271700206
"102","KOEL U/S (A/C RIVER KARO)","ORISSA","RIVERWATER",26.2,7.8,176,1.5,0.63,1995,4178,2011,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76,73.1505927045995
"103","ACHENKOIL AT CHENNITHULA, KERALA","KERALA","RIVERWATER",24.6,7.4,77,1.4,0.8,285,691,2014,60,100,80,100,100,40,10.2,17,13,6.88,22,8.8,77.88,75.8544245478907
"104","NEAR JAGANNATH TEMPLE, PURI, ORISSA","ORISSA","GROUNDWATER",26,7.7,1305,1.1,1,29,16,2013,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4,74.5010526768314
"105","R ITHIKKARA AT AYUR, KERALA","KERALA","RIVERWATER",26,7.2,92,0.8,0.77,332,660,2012,40,100,80,100,100,40,6.8,17,13,6.88,22,8.8,74.48,75.2357112578093
"106","CAUVERY AT TIRUCHIRAPPALLI D/S, TAMILNADU","TAMILNADU","RIVERWATER",28,7.9,720,1.5,0.23,418,645,2008,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,72.5909848553561
"107","IB AT BRAJRAJNAGAR (INTAKE) D/S, ORISSA","ORISSA","RIVERWATER",30.1,7.7,167,1.5,2,1146,2609,2013,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76,70.7434059061969
"108","CAUVERY AT TRICHY,GRAND ANAICUT","TAMILNADU","RIVERWATER",28,7.7,807,1.8,0.25,151,316,2012,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72,72.9161303886807
"109","MANTHRALAYAM , KURNOOL DIST","ANDHRAPRADESH","RIVERWATER",23,7.8,562,1.2,1.1,20,400,2016,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4,76.4901897886185
"110","B/W. - VIJAY KUMAR AUTONAGAR VIJAYAWADA, KRISHNA DIST.","ANDHRAPRADESH","GROUNDWATER",27,7.1,1611,0,0.2,2,800,2011,40,100,0,100,100,40,6.8,17,13,0,22,8.8,67.6,74.6808156575574
"111","SATLUJ AT 100M D/S BUDHA NALA CONFL.,LUDHIANA","PUNJAB","RIVERWATER",22,7.2,497,18,6.8,18134.3000000001,50000,2012,60,100,0,60,100,0,10.2,17,7.8,0,22,0,57,61.7850147846341
"112","TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE","MAHARASHTRA","RIVERWATER",28,7.9,131,3.5,0.75,41,96,2013,40,100,80,80,100,60,6.8,17,10.4,6.88,22,13.2,76.28,72.3928638473463
"113","BUGI RIVER AT MIBANPARA, SOUTH GARO HILLS","MEGHALAYA","RIVERWATER",25,7.2,95,1.8,2.67,22,50,2012,60,100,80,100,100,80,10.2,17,13,6.88,22,17.6,86.68,75.8243692906363
"114","KAPILI  AT DHARMTUL BRIDGE, NH- 31, NAGAON","ASSAM","RIVERWATER",20,6.3,54,0.8,0.1,360,1500,2016,80,80,100,100,100,40,13.6,13.6,13,8.6,22,8.8,79.6,80.8292891289825
"115","NIRA AT D/S OF JUBILANT ORGANOSIS, PUNE.","MAHARASHTRA","RIVERWATER",26.2,7.9,510,10.4,0.63,135,1257,2010,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4,72.1927841245208
"116","BRAHAMPUTRA AT JOGIJHOGA NEAR BRIDGE, ASSAM","ASSAM","RIVERWATER",20,7.4,129,0.7,0.1,0,0,2015,80,100,80,100,100,100,13.6,17,13,6.88,22,22,94.48,79.5913988207594
"117","SANKOSH RIVER, DHUBRI","ASSAM","RIVERWATER",29,6.8,132,2.3,0.8,1280,50000,2014,40,100,80,100,100,0,6.8,17,13,6.88,22,0,65.68,60.4101719240102
"118","BORE WELL AT ARINAMA AKKIVALASA, SRIKAKULAM, A.P.","ANDHRAPRADESH","GROUNDWATER",25,7.6,911,1,3.5,9,120,2014,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4,75.2300961368261
"119","PENNAR AT SIDDVATA, NELLORE, A.P.","ANDHRAPRADESH","RIVERWATER",24.6,7.4,794,2.83,1.33,90,1025,2008,60,100,0,100,100,40,10.2,17,13,0,22,8.8,71,75.4282619045374
"120","GIRNA AT JALGAON, MAHARASHTRA","MAHARASHTRA","RIVERWATER",23,8.38,523,8,2.96,1.29,7,2006,60,100,0,60,100,80,10.2,17,7.8,0,22,17.6,74.6,74.4141260865981
