"","LOCATIONS","STATE","WATERTYPE","TEMPERATURE(c)","pH","CONDUCTIVITY(µmhos/cm)","B.O.D(mg/l)","NITRATE","FECALCOLIFORM(MPN/100ml)","TOTALCOLIFORM(MPN/100ml)","YEAR","nTemp","npH","nCon","nBod","nNit","nColi","WTemp","Wph","WBod","WCon","WNit","WColi","WQI","predictWQI"
"45","WELL AT VILLAGE BHIWADI , VERY NEAR, BHIWADI TO BHIWADI INDUSTRIAL AREA,
BHIWADI","RAJASTHAN","GROUNDWATER",27,7.4,1770,2.1,2.1,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,73.9307548057882
"46","WELL AT VILLAGE GATTAL, NEAR, BHIWADI TO BHIWADI
INDUSTRIAL AREA, BHIWADI","RAJASTHAN","GROUNDWATER",27,7.2,1350,1.3,1.7,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,74.4275957976292
"47","PHED WELL NEAR RAILWAY
LINE JHOTAWARA, JAIPUR","RAJASTHAN","GROUNDWATER",27,7.6,650,1.1,1.1,4,4,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,73.957614962079
"48","VILLAGE VINAYAKIA, JODHPUR (HUKUM SINGH
RATHORE)","RAJASTHAN","GROUNDWATER",27,7.4,6400,2.1,15,3,4,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,72.6871888378842
"49","NEAR FOJI NAGAR, KACCHI
BASTI, AMBABARI, JAIPUR.","RAJASTHAN","GROUNDWATER",27,7.9,390,0.8,8.4,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,73.0677274231147
"50","OPPOSITE PRIVATE BUS
STAND, AJMER","RAJASTHAN","GROUNDWATER",26,7.4,1800,1.2,2.8,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,74.7727565318145
"51","WELL OF SH MNAGAL CHAND MEENA, MANPUR
MACHERI, JAIPUR","RAJASTHAN","GROUNDWATER",26,8.2,720,1,2.3,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,73.7260098053041
"52","WELL OF SH MOOL CHAND RAIGER, MANPUR MACHERI,
JAIPUR","RAJASTHAN","GROUNDWATER",26,7.3,780,1.3,3.4,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,74.9367194969005
"53","WELL AT INDIA PUBLIC SCHOOL, MANPUR
MACHERI, JAIPUR","RAJASTHAN","GROUNDWATER",27,7.6,640,1,0.4,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,74.0252283079104
"54","RIICO TUBE WELL, RIA,
SHAHJAHANPUR","RAJASTHAN","GROUNDWATER",27,7.5,3200,1.4,4.2,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,73.651744034407
"55","VILLAGE AGYARA, TEHSIL-
RAMGARH, ALWAR","RAJASTHAN","GROUNDWATER",27,8.2,1500,1.3,1.8,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,72.9156004167426
"56","SUJAN GANGA, BHARATPUR","RAJASTHAN","GROUNDWATER",16,8.2,7800,22.1,3.7,75,210,2016,80,100,0,60,100,60,13.6,17,7.8,0,22,13.2,73.6,76.748242250038
"57","WELL OF PEMA RAM MALI,
BHITUJA","RAJASTHAN","GROUNDWATER",28,8,5800,1.9,9.2,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,71.5405656837709
"58","WELL OF BHIKSINGH S/O
AMAR SINGH PUROHIT,","RAJASTHAN","GROUNDWATER",28,8.1,13200,1.2,3.6,3,4,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,71.3685010197098
"59","WELL OF BHAG JI LAXMAN RAM MALI, SAKARNA BERA,
BALOTRA, JODHPUR","RAJASTHAN","GROUNDWATER",29,7.8,11600,2.3,5.1,3,4,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,70.899375616192
"60","WELL OF CHOUTHA RAM PUSA PAM, LEFT SIDE OF
BRIDGE LUNI, BALOTRA","RAJASTHAN","GROUNDWATER",28,7.9,1800,1.4,1.9,3,4,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,72.5807146819083
"61","BORE WELL M/S R.C. PALACE
HOTEL, BHIWADI","RAJASTHAN","GROUNDWATER",27,7.6,1080,1.7,1.5,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,73.7939668653712
"62","BORE WELL OF M/S MODERN PUBLIC SCHOOL,
BHIWADI","RAJASTHAN","GROUNDWATER",28,7.8,1900,2.2,1.8,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,72.5907618964965
"63","HAND PUMP NEAR NEVTA TIRAHA, NEVTA DAM,
SANGANER, JAIPUR","RAJASTHAN","GROUNDWATER",27,7.8,2400,0.8,2.1,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,73.5138233787283
"64","GROUND WATER QUALITY
STATION CAPTANGANJ","UTTARPRADESH","GROUNDWATER",22,7,736,3.3,2.5,60,110,2016,60,100,0,80,100,60,10.2,17,10.4,0,22,13.2,72.8,78.021192249455
"65","BARSAT MUNICIPALITY NORTH 24-P","WEST BENGAL","GROUNDWATER",28,7,735,0.1,0.2,0,0,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,74.3498256205004
"66","TANGRA, CALCUTTA","WEST BENGAL","GROUNDWATER",30,7.2,1930,0.9,0.2,4,9,2016,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4,72.3492347604963
"67","AMTOLA ON DIAMOND HARBOUR
ROAD, 24 PARGANAS (S)","WEST BENGAL","GROUNDWATER",28,6.9,929,0.9,0.5,9,16,2016,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4,74.3204632417955
"68","BEAS  D/S AUT","HIMACHALPRADESH","RIVERWATER",23,6.9,76,2,0.1,8,70,2016,60,100,80,100,100,60,10.2,17,13,6.88,22,13.2,82.28,77.8876777873409
"69","BEAS  D/S MANDI","HIMACHALPRADESH","RIVERWATER",10,7.2,121,0.1,0,17,130,2016,100,100,80,100,100,60,17,17,13,6.88,22,13.2,89.08,87.3340560009524
"70","BEAS D/S PATHANKOT","PUNJAB","RIVERWATER",11,7.1,270,0.8,1.2,94,330,2016,100,100,40,100,100,60,17,17,13,3.44,22,13.2,85.64,86.4772648977242
"71","BEAS AT 1KM.D/S OF EFFL.
DISH. POINT AT MUKERIAN","PUNJAB","RIVERWATER",10,7,296,2.2,1.4,170,430,2016,100,100,40,100,100,60,17,17,13,3.44,22,13.2,85.64,87.0771484489053
"72","EAST KALI BEIN FALLING
INTO RIVER BEAS","PUNJAB","RIVERWATER",13,6.8,646,4.3,2.3,170,430,2016,100,100,0,80,100,60,17,17,10.4,0,22,13.2,79.6,84.7116405845571
"73","SATLUJ U/S SLAPPER","HIMACHALPRADESH","RIVERWATER",9.9,6.6,182,0.1,0,13,94,2016,100,100,60,100,100,60,17,17,13,5.16,22,13.2,87.36,88.3091632676321
"74","SATLUJ  D/S NFL","PUNJAB","RIVERWATER",15,7.6,228,1,0.4,110,220,2016,100,100,40,100,100,60,17,17,13,3.44,22,13.2,85.64,82.8372121855085
"75","SATLUJ U/S BUDHA NALLAH (UPPER)","PUNJAB","RIVERWATER",19,7.6,266,1.2,0.6,180,560,2016,80,100,40,100,100,40,13.6,17,13,3.44,22,8.8,77.84,79.7500045703813
"76","SATLUJ AT BOAT BDG. DHARMKOTNAKODAR ROAD, JALANDHAR","PUNJAB","RIVERWATER",19,7.4,360,2.2,0.8,180,610,2016,80,100,0,100,100,40,13.6,17,13,0,22,8.8,74.4,79.8405800954174
"77","RAVI  U/S MADHOPUR","HIMACHALPRADESH","RIVERWATER",9,7,167,0.1,0,4.5,170,2016,100,100,60,100,100,60,17,17,13,5.16,22,13.2,87.36,88.3556092550529
"78","RAVI AT CHAMERA RESERVOIR","HIMACHALPRADESH","RIVERWATER",8.9,7.2,137,0.2,0,3.6,90,2016,100,100,80,100,100,60,17,17,13,6.88,22,13.2,89.08,88.1362057927659
"79","PARVATI D/S MANIKARAN","HIMACHALPRADESH","RIVERWATER",4,6.8,63,0.1,0,11,63,2016,100,100,100,100,100,60,17,17,13,8.6,22,13.2,90.8,92.3729654869467
"80","SIRSA D/S NALAGARH DISTT. SOLAN","HIMACHALPRADESH","RIVERWATER",12,7.3,462,0.6,0,6.1,24,2016,100,100,0,100,100,80,17,17,13,0,22,17.6,86.6,85.6273996401373
"81","SIUEL  D/S SURGANI","HIMACHALPRADESH","RIVERWATER",7.6,7.2,144,0.1,0,3.6,94,2016,100,100,80,100,100,60,17,17,13,6.88,22,13.2,89.08,89.1096253691653
"82","SUKETI KHAD  D/S MANDI","HIMACHALPRADESH","RIVERWATER",13,7.1,173,0.1,0,23,280,2016,100,100,60,100,100,60,17,17,13,5.16,22,13.2,87.36,85.2305775861093
"83","NEUGAL  D/S THURAL","HIMACHALPRADESH","RIVERWATER",14,7.1,72.6,0.1,0,3.7,110,2016,100,100,100,100,100,60,17,17,13,8.6,22,13.2,90.8,84.5459041429094
"84","GANGA AT NARORA
(BULANDSAHAR)","UTTARPRADESH","RIVERWATER",19,7,115,2.1,0,200,550,2016,80,100,80,100,100,40,13.6,17,13,6.88,22,8.8,81.28,80.5454129068447
"85","GANGA AT KACHHLA GHAT,
ALIGARH","UTTARPRADESH","RIVERWATER",20,7,114,2,0,150,450,2016,80,100,80,100,100,60,13.6,17,13,6.88,22,13.2,85.68,79.8525674722216
"86","GANGA AT ALLAHABAD D/S
(SANGAM),","UTTARPRADESH","RIVERWATER",21,7.7,403,3.6,1.1,18134.3000000001,50000,2016,60,100,0,80,100,0,10.2,17,10.4,0,22,0,59.6,64.6908851180879
"87","GANGA U/S, VINDHYACHAL,
MIRZAPUR","UTTARPRADESH","RIVERWATER",19,6.5,346,2.1,0,1000,2100,2016,80,100,0,100,100,40,13.6,17,13,0,22,8.8,74.4,80.8689227736869
"88","GANGA U/S VARANASI
(ASSIGHAT)","UTTARPRADESH","RIVERWATER",21,7.4,320,2.8,0,1300,2200,2016,60,100,0,100,100,40,10.2,17,13,0,22,8.8,71,77.9047965220722
"89","GANGA AT SULTANGANJ,
BHAGALPUR","BIHAR","RIVERWATER",14.5,7.8,209,2.2,0,900,2200,2016,100,100,60,100,100,40,17,17,13,5.16,22,8.8,82.96,82.2075541951204
"90","GANGA AT BHAGALPUR","BIHAR","RIVERWATER",16,7.6,98,2.3,0,800,2200,2016,80,100,80,100,100,40,13.6,17,13,6.88,22,8.8,81.28,81.3921417353267
"91","GANGA AT D/S BUXAR NEAR
GANGA BRIDGE","BIHAR","RIVERWATER",22,7.5,323,2.4,0,400,900,2016,60,100,0,100,100,40,10.2,17,13,0,22,8.8,71,77.4294078139084
"92","GANGA  AT BARAHIA","BIHAR","RIVERWATER",14,7.8,225,2,0,700,1700,2016,100,100,60,100,100,40,17,17,13,5.16,22,8.8,82.96,82.7407292391684
"93","GANGA AT ULUBERIA","WEST BENGAL","RIVERWATER",20,7.3,217,1,0.2,18134.3000000001,50000,2016,80,100,60,100,100,0,13.6,17,13,5.16,22,0,70.76,66.55485800948
"94","YAMUNA AT KALANAUR, YAMUNA NAGAR","HARYANA","RIVERWATER",23,7.3,195,1,0,110,170,2016,60,100,60,100,100,60,10.2,17,13,5.16,22,13.2,80.56,77.4364156733497
"95","YAMUNA AT WAZIRABAD","DELHI","RIVERWATER",16.7,7.2,214,1,0,200,490,2016,80,100,60,100,100,60,13.6,17,13,5.16,22,13.2,83.96,82.1409324366177
"96","YAMUNA U/S MATHURA","UTTARPRADESH","RIVERWATER",24,7.5,640,8,0,680,50000,2016,60,100,0,60,100,0,10.2,17,7.8,0,22,0,57,62.0734490832726
"97","YAMUNA AT VISHRAMGHAT, MATHURA","UTTARPRADESH","RIVERWATER",20,6.7,981,2,0,18134.3000000001,50000,2016,80,100,0,100,100,0,13.6,17,13,0,22,0,65.6,67.2355859846353
"98","YAMUNA AT ALLAHABAD D/S (BALUA GHAT)","UTTARPRADESH","RIVERWATER",21,7.9,472,2.2,0.8,1700,50000,2016,60,100,0,100,100,0,10.2,17,13,0,22,0,62.2,64.6520585168344
"99","GOMTI D/S LUCKNOW","UTTARPRADESH","RIVERWATER",18,7.4,572,10,1.6,18134.3000000001,50000,2016,80,100,0,60,100,0,13.6,17,7.8,0,22,0,60.4,66.186374570597
"100","GOMTI AT VARANASI","UTTARPRADESH","RIVERWATER",21,7.2,290,3,0,18134.3000000001,50000,2016,60,100,40,100,100,0,10.2,17,13,3.44,22,0,65.64,65.6279827232911
"101","RAPTI A/C OF HONIN NR. DOMINGARH RLY BRIDGE, GORAKHPUR","UTTARPRADESH","RIVERWATER",15,8,336,2.2,0.2,170,340,2016,100,100,0,100,100,60,17,17,13,0,22,13.2,82.2,82.0052344463263
"102","GHAGHARA D/S DEORIA","UTTARPRADESH","RIVERWATER",15,8,384,2.4,0.2,200,450,2016,100,100,0,100,100,60,17,17,13,0,22,13.2,82.2,81.9380352965843
"103","GHAGHARA NEAR CHAPRA","BIHAR","RIVERWATER",17,7.1,216,2,0,700,1400,2016,80,100,60,100,100,40,13.6,17,13,5.16,22,8.8,79.56,81.6562048250941
"104","GANDAK AT REWAGHAT, MUJAFFARPUR","BIHAR","RIVERWATER",16,7,210,1.8,0,500,1100,2016,80,100,60,100,100,40,13.6,17,13,5.16,22,8.8,79.56,82.6561949948374
"105","KAMALA AT BENIPATTI (MADHUBANI)","BIHAR","RIVERWATER",15,7.6,216,1.8,0,800,3000,2016,100,100,60,100,100,40,17,17,13,5.16,22,8.8,82.96,81.9973332255001
"106","DAHA  AT ITWA BRIDGE, SIWAN","BIHAR","RIVERWATER",15,7.2,260,1.9,0,400,2400,2016,100,100,40,100,100,40,17,17,13,3.44,22,8.8,81.24,82.7317797699074
"107","DHOUS AT MADHUBANI","BIHAR","RIVERWATER",18,7.3,216,2,0,1100,2800,2016,80,100,60,100,100,40,13.6,17,13,5.16,22,8.8,79.56,80.2534441716059
"108","SIRSA AT RUXOL","BIHAR","RIVERWATER",16,7,251,2.5,0,2100,4100,2016,80,100,40,100,100,40,13.6,17,13,3.44,22,8.8,77.84,81.7440413760674
"109","BATTA B/C TO YAMUNA","HIMACHALPRADESH","RIVERWATER",15,7.5,401,0.2,0,6.8,15,2016,100,100,0,100,100,80,17,17,13,0,22,17.6,86.6,83.1953301098587
"110","HINDON D/S GHAZIABAD","UTTARPRADESH","RIVERWATER",16,6.7,792,32,0.5,18134.3000000001,50000,2016,80,100,0,60,100,0,13.6,17,7.8,0,22,0,60.4,64.9337434661704
"111","CHAMLA AT W/S INTAKE POINT BADNAGAR, UJJAIN","MADHYAPRADESH","RIVERWATER",19,7.7,309,1.8,0.9,4,50,2016,80,100,0,100,100,80,13.6,17,13,0,22,17.6,83.2,79.6056773605579
"112","CHAMBAL AT NAGDA U/S (WATER INTAKE POINT)","MADHYAPRADESH","RIVERWATER",24,7.2,320,1,0.6,7,7,2016,60,100,0,100,100,80,10.2,17,13,0,22,17.6,79.8,76.8407528132606
"113","CHAMBAL D/S NAGDA","MADHYAPRADESH","RIVERWATER",22,7.3,927,2.9,0.7,70,500,2016,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4,77.6529584896873
"114","CHAMBAL AT KOTA U/S (INTAKE PT. NEAR BARRAGE)","RAJASTHAN","RIVERWATER",19,7.7,240,0.7,0.1,4,7,2016,80,100,40,100,100,80,13.6,17,13,3.44,22,17.6,86.64,79.8698551184089
"115","BICHIA, BRIDGE GOVINDGARH ROAD","MADHYAPRADESH","RIVERWATER",18,7.3,428,2.1,1,6,21,2016,80,100,0,100,100,80,13.6,17,13,0,22,17.6,83.2,80.8795455844949
"116","BANAS,DHANARI DAM, NEAR SWAROOPGANJ, SIROHI","RAJASTHAN","RIVERWATER",16,7.5,160,0.7,0.8,4,7,2016,80,100,60,100,100,80,13.6,17,13,5.16,22,17.6,88.36,82.3350254734463
"117","BANAS,BISULPUR DAM, TONK","RAJASTHAN","RIVERWATER",20,7.8,210,0.7,0.3,4,4,2016,80,100,60,100,100,100,13.6,17,13,5.16,22,22,92.76,78.9727783520875
"118","BAGMATI AT MUZAFFARPUR- SITAMARHI ROAD BRIDGE","BIHAR","RIVERWATER",16,6.9,242,2,0,500,1400,2016,80,100,40,100,100,40,13.6,17,13,3.44,22,8.8,77.84,82.6897082417584
"119","BIHAR D/S NEAR FOREST OFFICE","MADHYAPRADESH","RIVERWATER",18,7.4,322,1.5,0.7,6,33,2016,80,100,0,100,100,80,13.6,17,13,0,22,17.6,83.2,80.8603181086044
"120","GANDAK U/S ROAD BRIDGE MUZAFFARPUR (NH)","BIHAR","RIVERWATER",17,7.2,251,1.7,0,200,3000,2016,80,100,40,100,100,40,13.6,17,13,3.44,22,8.8,77.84,81.136673735934
"121","KHAN AT SAKKAR KHADI, INDORE","MADHYAPRADESH","RIVERWATER",22,7,904,8,2.5,24,500,2016,60,100,0,60,100,60,10.2,17,7.8,0,22,13.2,70.2,77.0877814260241
"122","KHAN AT SANWER","MADHYAPRADESH","RIVERWATER",21,7.3,662,4,4.9,3.5,300,2016,60,100,0,80,100,60,10.2,17,10.4,0,22,13.2,72.8,77.9744291697673
"123","KOSHI AT BEERPUR","BIHAR","RIVERWATER",14,7.2,227,2.2,0,800,2200,2016,100,100,40,100,100,40,17,17,13,3.44,22,8.8,81.24,83.4709733669018
"124","U/S MANUSMAR RIVER AT BAKHARI RIGA","BIHAR","RIVERWATER",15,7,246,2,0,500,1300,2016,100,100,40,100,100,40,17,17,13,3.44,22,8.8,81.24,83.3028329487209
